text,label
Your account has been suspended. Click here to verify immediately.,1
Reset your password now to avoid account lock.,1
We detected suspicious login activity. Verify your identity.,1
Urgent action required. Update your bank details.,1
Congratulations! You have won a prize. Click the link.,1

The project meeting is scheduled tomorrow at 10 AM.,0
Please find the attached project report.,0
Class timetable for next week is uploaded.,0
Reminder about internal assessment test.,0
Team lunch meeting scheduled this Friday.,0
